Name,IN Reader,OUT Reader
APAC_IN_PUN_PODIUM_ST 1-DOOR 1 (RED),in:1,out:1
APAC_IN_PUN_PODIUM_ST 1 DOOR 2 (YELLOW),in:1,out:1
APAC_IN_PUN_PODIUM_P-1 TURNSTILE 1-DOOR,in:1,
APAC_IN_PUN_PODIUM_P-1 TURNSTILE 2-DOOR,in:1,
APAC_IN_PUN_PODIUM_P-1 TURNSTILE 3-DOOR,in:1,
APAC_IN_PUN_PODIUM_P-1 TURNSTILE 4-DOOR,in:1,
APAC_IN_PUN_PODIUM_P-1 TURNSTILE 2 -OUT DOOR,,out:1
APAC_IN_PUN-PODIUM_P-1 TURNSTILE 3 -OUT DOOR,,out:1
APAC_IN_PUN_PODIUM_P-1 TURNSTILE 4 -OUT DOOR,,out:1
APAC_IN_PUN_PODIUM_P-1 TURNSTILE 1-OUT DOOR,,out:1
APAC_IN_PUN_PODIUM_RED_MAIN LIFT LOBBY ENTRY 1-DOOR,in:1,out:1
APAC_IN_PUN_PODIUM_YELLOW_MAIN LIFT LOBBY-DOOR NEW,in:1,out:1
APAC_IN-PUN-PODIUM-MAIN PODIUM LEFT ENTRY-DOOR,in:1,
APAC_IN_PUN_PODIUM_MAIN PODIUM RIGHT ENTRY-DOOR,in:1,
APAC_IN_PUN_PODIUM_MAIN PODIUM RIGHT ENTRY-DOOR NEW,in:1,out:1
APAC_IN_PUN_PODIUM_MAIN PODIUM LEFT ENTRY-DOOR NEW,in:1,out:1
APAC_IN_PUN_2NDFLR_RECPTION TO WORKSTATION DOOR_10:05:4B,in:1,out:1
APAC_IN_PUN_2NDFLR_LIFTLOBBY TO RECEPTION EMTRY DOOR_10:05:74,in:1,
APAC_IN_PUN_TOWER B_MAIN RECEPTION DOOR,in:1,out:1
APAC_IN_PUN_TOWER B_LIFT LOBBY DOOR,in:1,out:1
APAC_IN_PUN_TOWER B_ST5_FIRE EXIT DOOR,                ,
APAC_IN_PUN_TOWER B_ST5_KAPIL DEV DOOR,in:1,out:1
APAC_IN_PUN_TOWER B_ST5_WKS SIDE DOOR,in:1,out:1
APAC_AUS_SYD_MAIN DOOR1,in:1,out:1
APAC_AUS_SYD_MAIN DOOR2,in:1,out:1
APAC_AUS_SYD_MAIN DOOR3,in:1,out:1
APAC_IN_HYD_2NDFLR_MAIN LIFT LOBBY ENTRY 1,in:1,out:1
APAC_IN_HYD_2NDFLR_MAIN LIFT LOBBY ENTRY 2,in:1,out:1
APAC_IN_HYD_2NDFLR_SERVICE LIFT 4_EMERGENCY DOOR,in:1,out:1
APAC_IN_HYD_2NDFLR_SER LIFT 5_EMERGENCY DOOR,in:1,out:1
APAC_IN_HYD_2NDFLR_SERVICE ENTRY EMERGENCY EXIT,,
APAC_PH_Manila_7th Floor_Recption Door 1-701,in:1,out:1
APAC_PH_Manila_7th Floor_Recption Door 2-701,in:1,out:1
APAC_PH_Manila_7th Floor_Open Office Door 1-721,in:1,out:1
APAC_PH_Manila_7th Floor_Open Office Door 2-721,in:1,out:1
APAC_PH_Manila_7th Floor_Exit Corridore-704,in:1,out:1
APAC_PH_Manila_6th Floor Enrty Door 1,in:1,out:1
APAC_PH_Manila_6th Floor_Entry Door 2,in:1,out:1
APAC_PH_Manila_6th Floor Open Office 2,in:1,out:1
APAC_PH_Manila_6th Floor_Exit Corridor,in:1,out:1
APAC_SG_11 FLR_Main Door,in:1,out:1
